Species,SpeciesID,Fct_group,Comment,Ecogroup_Phillips,MJI Briones,Correct name,Acc_name,Percent_Epigeic,Percent_Anecic,Percent_Endogeic,Ecogroup_Bottinelli,Ecogroup,kingdom,phylum,class,order,suborder,family,genus,Records,NumCells_2km,NumCells_1km
Lumbricus festivus,Lumbr_fest,NA,NA,Anecic,Epi-anecic,Lumbricus festivus,Lumbricus festivus,66,34,0,Epi-anecic,Epi-anecic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Lumbricus,103,49,49
Lumbricus friendi,Lumbr_frie,NA,NA,Anecic,Anecic,Lumbricus friendi,Lumbricus friendi,34,66,0,Epi-anecic,Epi-anecic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Lumbricus,68,40,40
Lumbricus herculeus,Lumbr_herc,NA,NA,NA,Anecic,Lumbricus herculeus,Lumbricus herculeus,34,66,0,Epi-anecic,Epi-anecic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Lumbricus,69,19,20
Lumbricus klarae,Lumbr_klar,NA,NA,NA,Epigeic,Lumbricus klarae,Lumbricus klarae,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Lumbricus,1,1,1
Lumbricus lucens,Lumbr_luce,NA,NA,NA,,Esienia lucens,Lumbricus lucens,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Lumbricus,7,3,3
Lumbricus meliboeus,Lumbr_meli,NA,NA,Anecic,Epi-anecic,Lumbricus meliboeus,Lumbricus meliboeus,64,36,0,Epi-anecic,Epi-anecic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Lumbricus,10,9,9
Lumbricus polyphemus,Lumbr_poly,NA,NA,Anecic,Anecic,Lumbricus polyphemus,Lumbricus polyphemus,NA,NA,NA,NA,Anecic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Lumbricus,51,24,27
Lumbricus rubellus,Lumbr_rube,NA,NA,Epigeic,Epigeic,Lumbricus rubellus,Lumbricus rubellus,85,15,0,Epigeic,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Lumbricus,8336,2114,2280
Lumbricus terrestris,Lumbr_terr,NA,NA,Anecic,Anecic,Lumbricus terrestris,Lumbricus terrestris,NA,NA,NA,NA,Anecic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Lumbricus,6146,2035,2175
Metaphire kiengiangensis,Metap_kien,NA,NA,NA,Endogeic,Metaphire kiengiangensis,Metaphire kiengiangensis,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Megascolecidae,Metaphire,1,1,1
Microscolex dubius,Micro_dubi,NA,NA,Epi-Endogeic,Epi-Endogeic,Microscolex dubius,Microscolex dubius,30,0,70,Epi-endogeic,Epi-endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Acanthodrilidae,Microscolex,271,18,18
Microscolex phosphoreus,Micro_phos,NA,NA,Endogeic,Endogeic,Microscolex phosphoreus,Microscolex phosphoreus,29,0,71,Epi-endogeic,Epi-endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Acanthodrilidae,Microscolex,196,34,34
Murchieona minuscula,Murch_minu,NA,NA,NA,Endogeic,Murchieona minuscula,Murchieona minuscula,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Murchieona,14,5,5
Murchieona muldali,Murch_muld,NA,NA,Endogeic,Endogeic,Murchieona muldali,Murchieona muldali,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Murchieona,40,17,17
Ocnerodrilus occidentalis,Ocner_occi,NA,NA,Endogeic,Endogeic,Ocnerodrilus occidentalis,Ocnerodrilus occidentalis,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Ocnerodrilidae,Ocnerodrilus,3,3,3
Octodrilus argoviensis,Octod_argo,NA,NA,Epigeic,Epigeic,Octodrilus argoviensis,Octodrilus argoviensis,NA,NA,NA,NA,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Octodrilus,22,12,12
Octodrilus bretscheri,Octod_bret,NA,NA,NA,Endogeic,Octodrilus bretscheri,Octodrilus bretscheri,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Octodrilus,2,2,2
Octodrilus complanatus,Octod_comp,NA,NA,Anecic,Anecic,Octodrilus complanatus,Octodrilus complanatus,4,75,21,Anecic,Anecic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Octodrilus,33,30,30
Octodrilus compromissus,Octod_comp,NA,NA,NA,Endogeic,Octodrilus compromissus,Octodrilus compromissus,4,75,21,Anecic,Anecic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Octodrilus,33,30,30
Octodriloides damianii,Octod_dami,NA,NA,Endogeic,Endogeic,Octodriloides damianii,Octodriloides damianii,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Octodriloides,2,2,2
Octodrilus exacystis,Octod_exac,NA,NA,NA,Endogeic,Octodrilus exacystis,Octodrilus exacystis,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Octodrilus,2,2,2
Octodrilus juvyi,Octod_juvy,NA,NA,NA,Epigeic,Octodrilus juvyi,Octodrilus juvyi,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Octodrilus,4,2,4
Octodrilus lissaensis,Octod_liss,NA,NA,Endogeic,Endogeic,Octodrilus lissaensis,Octodrilus lissaensis,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Octodrilus,1,1,1
Octodrilus mimus,Octod_mimu,NA,NA,NA,Anecic,Octodrilus mimus,Octodrilus mimus,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Octodrilus,2,1,1
Octodrilus transpadanus,Octod_tran,NA,NA,Endogeic,Endogeic,Octodrilus transpadanus,Octodrilus transpadanus,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Octodrilus,13,10,10
Octolasion cyaneum,Octol_cyan,NA,NA,Endogeic,Endogeic,Octolasion cyaneum,Octolasion cyaneum,21,24,55,Intermediate,Intermediate,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Octolasion,478,158,168
Octolasion lacteum,Octol_lact,NA,NA,Endogeic,Endogeic,Octolasion lacteum,Octolasion lacteum,14,20,66,Endo-anecic,Endo-anecic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Octolasion,2845,288,315
Octolasion oerley,Octol_oerl,NA,NA,NA,,,Octolasion,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Octolasion,426,87,94
Octolasion tyrtaeum,Octol_tyrt,NA,NA,Epi-Endogeic,Epi-Endogeic,Octolasion tyrtaeum,Octolasion tyrtaeum,NA,NA,NA,NA,Epi-Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Octolasion,1610,435,444
Perelia gestroi,Perel_gest,NA,NA,NA,Anecic,Perelia gestroi,Perelia gestroi,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Perelia,19,6,7
Perichaeta morrisi,Peric_morr,NA,Family from GBIF,NA,Epi-Endogeic,Amynthas morrisi,Perichaeta morrisi,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Megascolecidae,Perichaeta,1,1,1
Proctodrilus antipae,Proct_anti,NA,NA,Endogeic,,Proctodrilus antipai,Proctodrilus antipae,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Proctodrilus,97,40,40
Proctodrilus antipai,Proct_anti,NA,NA,NA,Endogeic,Proctodrilus antipai,Proctodrilus antipai,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Proctodrilus,97,40,40
Proctodrilus tuberculatus,Proct_tube,NA,NA,Endogeic,Endogeic,Proctodrilus tuberculatus,Proctodrilus tuberculatus,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Proctodrilus,45,21,23
Prosellodrilus albus,Prose_albu,NA,NA,NA,Endogeic,Prosellodrilus albus,Prosellodrilus albus,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Prosellodrilus,2,1,1
Prosellodrilus amplisetosus,Prose_ampl,NA,NA,NA,Endogeic,Prosellodrilus amplisetosus,Prosellodrilus amplisetosus,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Prosellodrilus,6,2,2
Prosellodrilus amplisetosus amplisetosus,Prose_ampl,NA,NA,Endogeic,Endogeic,Prosellodrilus amplisetosus,Prosellodrilus amplisetosus amplisetosus,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Prosellodrilus,6,2,2
Prosellodrilus praticola,Prose_prat,NA,NA,Endogeic,Endogeic,Prosellodrilus praticola,Prosellodrilus praticola,0,0,100,Endogeic,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Prosellodrilus,9,3,3
Satchellius alvaradoi,Satch_alva,NA,NA,Epigeic,Epigeic,Satchellius alvaradoi,Satchellius alvaradoi,NA,NA,NA,NA,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Satchellius,1,1,1
Satchellius madeirensis,Satch_made,NA,NA,Epi-Endogeic,Epi-Endogeic,Satchellius madeirensis,Satchellius madeirensis,NA,NA,NA,NA,Epi-Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Satchellius,28,20,20
Satchellius mammalis,Satch_mamm,NA,NA,Epigeic,Epigeic,Satchellius mammalis,Satchellius mammalis,NA,NA,NA,NA,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Satchellius,413,204,221
Scherotheca aquitania,Scher_aqui,NA,NA,Anecic,Anecic,Scherotheca aquitania,Scherotheca aquitania,0,94,6,Anecic,Anecic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Scherotheca,19,7,7
Scherotheca hexatheca,Scher_hexa,NA,NA,NA,Endogeic,Scherotheca corsicana?,Scherotheca hexatheca,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Scherotheca,1,1,1
Scherotheca targionii,Scher_targ,NA,NA,Anecic,Anecic,Scherotheca targionii,Scherotheca targionii,NA,NA,NA,NA,Anecic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Scherotheca,5,3,4
Sparganophilus tamesis,Sparg_tame,NA,NA,NA,Epigeic?,Sparganophilus tamesis,Sparganophilus tamesis,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Sparganophilidae,Sparganophilus,4,1,1
Vignysa popi,Vigny_popi,NA,NA,NA,Endogeic,Vignysa popi,Vignysa popi,0,4,96,Endogeic,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Hormogastridae,Vignysa,1,1,1
Xana omodeoi,Xana_omod,NA,NA,NA,Endogeic,Xanina omodeoi,Xana omodeoi,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Hormogastridae,Xana,1,1,1
Zophoscolex chitae,Zopho_chit,NA,NA,Endogeic,Endogeic,Zophoscolex chitae,Zophoscolex chitae,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Zophoscolex,1,1,1
Zophoscolex ibericus,Zopho_iber,NA,NA,Endogeic,Endogeic,Zophoscolex ibericus,Zophoscolex ibericus,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Zophoscolex,44,2,2
