ID,OriginalSpeciesBinomial,SpeciesBinomial,Genus,Family,Ecological_group,Abundance,Abundance_Unit
000_Baker1998a_Mortlake_Baker_C14,Microscolex phosphoreus,Microscolex phosphoreus,Microscolex,Acanthodrilidae,Endogeic,2,Individuals per m2
000_Baker1998a_Mortlake_Baker_C101,Microscolex phosphoreus,Microscolex phosphoreus,Microscolex,Acanthodrilidae,Endogeic,2,Individuals per m2
000_Baker1998a_Mortlake_Baker_D101,Microscolex phosphoreus,Microscolex phosphoreus,Microscolex,Acanthodrilidae,Endogeic,2,Individuals per m2
000_Baker1998a_Mortlake_Baker_E43,Microscolex phosphoreus,Microscolex phosphoreus,Microscolex,Acanthodrilidae,Endogeic,3,Individuals per m2
000_Baker1998a_Mortlake_Baker_B44,Microscolex phosphoreus,Microscolex phosphoreus,Microscolex,Acanthodrilidae,Endogeic,2,Individuals per m2
000_Baker1998a_Mortlake_Baker_C73,Microscolex phosphoreus,Microscolex phosphoreus,Microscolex,Acanthodrilidae,Endogeic,2,Individuals per m2
000_Baker1998a_Mortlake_Baker_A43,Microscolex phosphoreus,Microscolex phosphoreus,Microscolex,Acanthodrilidae,Endogeic,2,Individuals per m2
000_Baker1998a_Mortlake_Baker_A38,Microscolex phosphoreus,Microscolex phosphoreus,Microscolex,Acanthodrilidae,Endogeic,13,Individuals per m2
000_Baker1998a_Mortlake_Baker_D44,Microscolex phosphoreus,Microscolex phosphoreus,Microscolex,Acanthodrilidae,Endogeic,2,Individuals per m2
000_Baker1998a_Mortlake_Baker_A7,Microscolex phosphoreus,Microscolex phosphoreus,Microscolex,Acanthodrilidae,Endogeic,5,Individuals per m2
000_Baker1998a_Mortlake_Baker_A44,Microscolex phosphoreus,Microscolex phosphoreus,Microscolex,Acanthodrilidae,Endogeic,2,Individuals per m2
000_Baker1998a_Mortlake_Baker_C6,Microscolex phosphoreus,Microscolex phosphoreus,Microscolex,Acanthodrilidae,Endogeic,2,Individuals per m2
000_Baker1998a_Mortlake_Baker_B6,Microscolex phosphoreus,Microscolex phosphoreus,Microscolex,Acanthodrilidae,Endogeic,2,Individuals per m2
000_Baker1998a_Mortlake_Baker_B41,Microscolex phosphoreus,Microscolex phosphoreus,Microscolex,Acanthodrilidae,Endogeic,2,Individuals per m2
000_Baker1998a_Mortlake_Baker_B38,Microscolex phosphoreus,Microscolex phosphoreus,Microscolex,Acanthodrilidae,Endogeic,2,Individuals per m2
000_Baker1998a_Mortlake_Baker_C7,Microscolex phosphoreus,Microscolex phosphoreus,Microscolex,Acanthodrilidae,Endogeic,8,Individuals per m2
000_Baker1998a_Mortlake_Baker_B59,Microscolex phosphoreus,Microscolex phosphoreus,Microscolex,Acanthodrilidae,Endogeic,3,Individuals per m2
000_Baker1998a_Mortlake_Baker_B60,Microscolex phosphoreus,Microscolex phosphoreus,Microscolex,Acanthodrilidae,Endogeic,2,Individuals per m2
000_Baker1998a_Mortlake_Baker_A31,Microscolex phosphoreus,Microscolex phosphoreus,Microscolex,Acanthodrilidae,Endogeic,3,Individuals per m2
000_Baker1998a_Mortlake_Baker_C41,Octolasion cyaneum,Octolasion cyaneum,Octolasion,Lumbricidae,Endogeic,28,Individuals per m2
000_Baker1998a_Mortlake_Baker_C99,Octolasion cyaneum,Octolasion cyaneum,Octolasion,Lumbricidae,Endogeic,2,Individuals per m2
000_Baker1998a_Mortlake_Baker_D101,Octolasion cyaneum,Octolasion cyaneum,Octolasion,Lumbricidae,Endogeic,5,Individuals per m2
000_Baker1998a_Mortlake_Baker_C69,Octolasion cyaneum,Octolasion cyaneum,Octolasion,Lumbricidae,Endogeic,2,Individuals per m2
000_Baker1998a_Mortlake_Baker_E32,Octolasion cyaneum,Octolasion cyaneum,Octolasion,Lumbricidae,Endogeic,2,Individuals per m2
000_Baker1998a_Mortlake_Baker_C83,Octolasion cyaneum,Octolasion cyaneum,Octolasion,Lumbricidae,Endogeic,2,Individuals per m2
000_Baker1998a_Mortlake_Baker_C84,Octolasion cyaneum,Octolasion cyaneum,Octolasion,Lumbricidae,Endogeic,2,Individuals per m2
000_Baker1998a_Mortlake_Baker_E36,Octolasion cyaneum,Octolasion cyaneum,Octolasion,Lumbricidae,Endogeic,13,Individuals per m2
000_Baker1998a_Mortlake_Baker_D41,Octolasion cyaneum,Octolasion cyaneum,Octolasion,Lumbricidae,Endogeic,18,Individuals per m2
000_Baker1998a_Mortlake_Baker_E6,Octolasion cyaneum,Octolasion cyaneum,Octolasion,Lumbricidae,Endogeic,7,Individuals per m2
000_Baker1998a_Mortlake_Baker_A87,Octolasion cyaneum,Octolasion cyaneum,Octolasion,Lumbricidae,Endogeic,3,Individuals per m2
000_Baker1998a_Mortlake_Baker_A69,Octolasion cyaneum,Octolasion cyaneum,Octolasion,Lumbricidae,Endogeic,5,Individuals per m2
000_Baker1998a_Mortlake_Baker_D84,Octolasion cyaneum,Octolasion cyaneum,Octolasion,Lumbricidae,Endogeic,3,Individuals per m2
000_Baker1998a_Mortlake_Baker_E34,Octolasion cyaneum,Octolasion cyaneum,Octolasion,Lumbricidae,Endogeic,93,Individuals per m2
000_Baker1998a_Mortlake_Baker_D88,Octolasion cyaneum,Octolasion cyaneum,Octolasion,Lumbricidae,Endogeic,2,Individuals per m2
000_Baker1998a_Mortlake_Baker_E5,Octolasion cyaneum,Octolasion cyaneum,Octolasion,Lumbricidae,Endogeic,17,Individuals per m2
000_Baker1998a_Mortlake_Baker_D69,Octolasion cyaneum,Octolasion cyaneum,Octolasion,Lumbricidae,Endogeic,2,Individuals per m2
000_Baker1998a_Mortlake_Baker_C96,Octolasion cyaneum,Octolasion cyaneum,Octolasion,Lumbricidae,Endogeic,2,Individuals per m2
000_Baker1998a_Mortlake_Baker_C60,Octolasion cyaneum,Octolasion cyaneum,Octolasion,Lumbricidae,Endogeic,2,Individuals per m2
000_Baker1998a_Mortlake_Baker_B91,Octolasion cyaneum,Octolasion cyaneum,Octolasion,Lumbricidae,Endogeic,2,Individuals per m2
000_Baker1998a_Mortlake_Baker_D99,Octolasion cyaneum,Octolasion cyaneum,Octolasion,Lumbricidae,Endogeic,7,Individuals per m2
000_Baker1998a_Mortlake_Baker_A96,Octolasion cyaneum,Octolasion cyaneum,Octolasion,Lumbricidae,Endogeic,8,Individuals per m2
000_Baker1998a_Mortlake_Baker_A101,NA,NA,Spenceriella,Megascolecidae,Unknown,35,Individuals per m2
000_Baker1998a_Mortlake_Baker_A11,NA,NA,Spenceriella,Megascolecidae,Unknown,65,Individuals per m2
000_Baker1998a_Mortlake_Baker_A14,NA,NA,Spenceriella,Megascolecidae,Unknown,33,Individuals per m2
000_Baker1998a_Mortlake_Baker_A15,NA,NA,Spenceriella,Megascolecidae,Unknown,198,Individuals per m2
000_Baker1998a_Mortlake_Baker_A15,NA,NA,Heteroporodrilus,Megascolecidae,Unknown,2,Individuals per m2
000_Baker1998a_Mortlake_Baker_A18,NA,NA,Spenceriella,Megascolecidae,Unknown,3,Individuals per m2
000_Baker1998a_Mortlake_Baker_A22,NA,NA,Spenceriella,Megascolecidae,Unknown,100,Individuals per m2
000_Baker1998a_Mortlake_Baker_A23,NA,NA,Spenceriella,Megascolecidae,Unknown,63,Individuals per m2
000_Baker1998a_Mortlake_Baker_A24,NA,NA,Spenceriella,Megascolecidae,Unknown,220,Individuals per m2
000_Baker1998a_Mortlake_Baker_A25,NA,NA,Spenceriella,Megascolecidae,Unknown,85,Individuals per m2
000_Baker1998a_Mortlake_Baker_A28,NA,NA,Spenceriella,Megascolecidae,Unknown,103,Individuals per m2
000_Baker1998a_Mortlake_Baker_A3,NA,NA,Spenceriella,Megascolecidae,Unknown,12,Individuals per m2
000_Baker1998a_Mortlake_Baker_A30,NA,NA,Spenceriella,Megascolecidae,Unknown,177,Individuals per m2
000_Baker1998a_Mortlake_Baker_A31,NA,NA,Spenceriella,Megascolecidae,Unknown,32,Individuals per m2
000_Baker1998a_Mortlake_Baker_A38,NA,NA,Spenceriella,Megascolecidae,Unknown,63,Individuals per m2
000_Baker1998a_Mortlake_Baker_A41,NA,NA,Spenceriella,Megascolecidae,Unknown,7,Individuals per m2
000_Baker1998a_Mortlake_Baker_A43,NA,NA,Spenceriella,Megascolecidae,Unknown,178,Individuals per m2
000_Baker1998a_Mortlake_Baker_A44,NA,NA,Spenceriella,Megascolecidae,Unknown,198,Individuals per m2
000_Baker1998a_Mortlake_Baker_A46,NA,NA,Spenceriella,Megascolecidae,Unknown,53,Individuals per m2
000_Baker1998a_Mortlake_Baker_A58,NA,NA,Spenceriella,Megascolecidae,Unknown,200,Individuals per m2
000_Baker1998a_Mortlake_Baker_A59,NA,NA,Spenceriella,Megascolecidae,Unknown,177,Individuals per m2
000_Baker1998a_Mortlake_Baker_A6,NA,NA,NA,NA,Unknown,0,Individuals per m2
000_Baker1998a_Mortlake_Baker_A60,NA,NA,Spenceriella,Megascolecidae,Unknown,97,Individuals per m2
000_Baker1998a_Mortlake_Baker_A69,NA,NA,Spenceriella,Megascolecidae,Unknown,12,Individuals per m2
000_Baker1998a_Mortlake_Baker_A7,NA,NA,Spenceriella,Megascolecidae,Unknown,63,Individuals per m2
000_Baker1998a_Mortlake_Baker_A73,NA,NA,Spenceriella,Megascolecidae,Unknown,12,Individuals per m2
000_Baker1998a_Mortlake_Baker_A8,NA,NA,Spenceriella,Megascolecidae,Unknown,12,Individuals per m2
000_Baker1998a_Mortlake_Baker_A82,NA,NA,Heteroporodrilus,Megascolecidae,Unknown,8,Individuals per m2
000_Baker1998a_Mortlake_Baker_A84,NA,NA,Heteroporodrilus,Megascolecidae,Unknown,5,Individuals per m2
000_Baker1998a_Mortlake_Baker_A87,NA,NA,Spenceriella,Megascolecidae,Unknown,5,Individuals per m2
000_Baker1998a_Mortlake_Baker_A88,NA,NA,Spenceriella,Megascolecidae,Unknown,17,Individuals per m2
000_Baker1998a_Mortlake_Baker_A97,NA,NA,Spenceriella,Megascolecidae,Unknown,3,Individuals per m2
000_Baker1998a_Mortlake_Baker_B11,NA,NA,Spenceriella,Megascolecidae,Unknown,52,Individuals per m2
000_Baker1998a_Mortlake_Baker_B14,NA,NA,Spenceriella,Megascolecidae,Unknown,43,Individuals per m2
000_Baker1998a_Mortlake_Baker_B15,NA,NA,Spenceriella,Megascolecidae,Unknown,28,Individuals per m2
000_Baker1998a_Mortlake_Baker_B15,NA,NA,Heteroporodrilus,Megascolecidae,Unknown,5,Individuals per m2
000_Baker1998a_Mortlake_Baker_B18,NA,NA,Spenceriella,Megascolecidae,Unknown,22,Individuals per m2
000_Baker1998a_Mortlake_Baker_B22,NA,NA,Spenceriella,Megascolecidae,Unknown,160,Individuals per m2
000_Baker1998a_Mortlake_Baker_B23,NA,NA,Spenceriella,Megascolecidae,Unknown,205,Individuals per m2
000_Baker1998a_Mortlake_Baker_B24,NA,NA,Spenceriella,Megascolecidae,Unknown,207,Individuals per m2
000_Baker1998a_Mortlake_Baker_B28,NA,NA,Spenceriella,Megascolecidae,Unknown,75,Individuals per m2
000_Baker1998a_Mortlake_Baker_B3,NA,NA,Spenceriella,Megascolecidae,Unknown,12,Individuals per m2
000_Baker1998a_Mortlake_Baker_B30,NA,NA,Spenceriella,Megascolecidae,Unknown,35,Individuals per m2
000_Baker1998a_Mortlake_Baker_B31,NA,NA,Spenceriella,Megascolecidae,Unknown,115,Individuals per m2
000_Baker1998a_Mortlake_Baker_B38,NA,NA,Spenceriella,Megascolecidae,Unknown,68,Individuals per m2
000_Baker1998a_Mortlake_Baker_B41,NA,NA,Spenceriella,Megascolecidae,Unknown,75,Individuals per m2
000_Baker1998a_Mortlake_Baker_B43,NA,NA,Spenceriella,Megascolecidae,Unknown,87,Individuals per m2
000_Baker1998a_Mortlake_Baker_B44,NA,NA,Spenceriella,Megascolecidae,Unknown,135,Individuals per m2
000_Baker1998a_Mortlake_Baker_B46,NA,NA,Spenceriella,Megascolecidae,Unknown,185,Individuals per m2
000_Baker1998a_Mortlake_Baker_B58,NA,NA,Spenceriella,Megascolecidae,Unknown,165,Individuals per m2
000_Baker1998a_Mortlake_Baker_B59,NA,NA,Spenceriella,Megascolecidae,Unknown,263,Individuals per m2
000_Baker1998a_Mortlake_Baker_B6,NA,NA,Spenceriella,Megascolecidae,Unknown,25,Individuals per m2
000_Baker1998a_Mortlake_Baker_B60,NA,NA,Spenceriella,Megascolecidae,Unknown,202,Individuals per m2
000_Baker1998a_Mortlake_Baker_B69,NA,NA,Spenceriella,Megascolecidae,Unknown,105,Individuals per m2
000_Baker1998a_Mortlake_Baker_B7,NA,NA,Spenceriella,Megascolecidae,Unknown,22,Individuals per m2
000_Baker1998a_Mortlake_Baker_B73,NA,NA,Spenceriella,Megascolecidae,Unknown,58,Individuals per m2
000_Baker1998a_Mortlake_Baker_B8,NA,NA,Spenceriella,Megascolecidae,Unknown,7,Individuals per m2
000_Baker1998a_Mortlake_Baker_B82,NA,NA,Heteroporodrilus,Megascolecidae,Unknown,5,Individuals per m2
000_Baker1998a_Mortlake_Baker_B83,NA,NA,Heteroporodrilus,Megascolecidae,Unknown,2,Individuals per m2
000_Baker1998a_Mortlake_Baker_C11,NA,NA,Spenceriella,Megascolecidae,Unknown,2,Individuals per m2
000_Baker1998a_Mortlake_Baker_C15,NA,NA,Spenceriella,Megascolecidae,Unknown,60,Individuals per m2
000_Baker1998a_Mortlake_Baker_C18,NA,NA,Spenceriella,Megascolecidae,Unknown,108,Individuals per m2
000_Baker1998a_Mortlake_Baker_C22,NA,NA,Spenceriella,Megascolecidae,Unknown,12,Individuals per m2
000_Baker1998a_Mortlake_Baker_C23,NA,NA,Spenceriella,Megascolecidae,Unknown,210,Individuals per m2
000_Baker1998a_Mortlake_Baker_C24,NA,NA,Spenceriella,Megascolecidae,Unknown,43,Individuals per m2
000_Baker1998a_Mortlake_Baker_C25,NA,NA,Spenceriella,Megascolecidae,Unknown,65,Individuals per m2
000_Baker1998a_Mortlake_Baker_C28,NA,NA,Spenceriella,Megascolecidae,Unknown,32,Individuals per m2
000_Baker1998a_Mortlake_Baker_C3,NA,NA,Spenceriella,Megascolecidae,Unknown,23,Individuals per m2
000_Baker1998a_Mortlake_Baker_C30,NA,NA,NA,NA,Unknown,0,Individuals per m2
000_Baker1998a_Mortlake_Baker_C31,NA,NA,Spenceriella,Megascolecidae,Unknown,83,Individuals per m2
000_Baker1998a_Mortlake_Baker_C38,NA,NA,Spenceriella,Megascolecidae,Unknown,80,Individuals per m2
000_Baker1998a_Mortlake_Baker_C41,NA,NA,Spenceriella,Megascolecidae,Unknown,152,Individuals per m2
000_Baker1998a_Mortlake_Baker_C43,NA,NA,Spenceriella,Megascolecidae,Unknown,132,Individuals per m2
000_Baker1998a_Mortlake_Baker_C44,NA,NA,Spenceriella,Megascolecidae,Unknown,128,Individuals per m2
000_Baker1998a_Mortlake_Baker_C46,NA,NA,Spenceriella,Megascolecidae,Unknown,55,Individuals per m2
000_Baker1998a_Mortlake_Baker_C58,NA,NA,Spenceriella,Megascolecidae,Unknown,47,Individuals per m2
000_Baker1998a_Mortlake_Baker_C59,NA,NA,Spenceriella,Megascolecidae,Unknown,245,Individuals per m2
000_Baker1998a_Mortlake_Baker_C6,NA,NA,Spenceriella,Megascolecidae,Unknown,102,Individuals per m2
000_Baker1998a_Mortlake_Baker_C60,NA,NA,Spenceriella,Megascolecidae,Unknown,38,Individuals per m2
000_Baker1998a_Mortlake_Baker_C69,NA,NA,Spenceriella,Megascolecidae,Unknown,22,Individuals per m2
000_Baker1998a_Mortlake_Baker_C73,NA,NA,Spenceriella,Megascolecidae,Unknown,155,Individuals per m2
000_Baker1998a_Mortlake_Baker_C87,NA,NA,Spenceriella,Megascolecidae,Unknown,7,Individuals per m2
000_Baker1998a_Mortlake_Baker_C87,NA,NA,Heteroporodrilus,Megascolecidae,Unknown,83,Individuals per m2
000_Baker1998a_Mortlake_Baker_C96,NA,NA,Spenceriella,Megascolecidae,Unknown,3,Individuals per m2
000_Baker1998a_Mortlake_Baker_D14,NA,NA,Spenceriella,Megascolecidae,Unknown,8,Individuals per m2
000_Baker1998a_Mortlake_Baker_D15,NA,NA,Spenceriella,Megascolecidae,Unknown,242,Individuals per m2
000_Baker1998a_Mortlake_Baker_D18,NA,NA,Spenceriella,Megascolecidae,Unknown,33,Individuals per m2
000_Baker1998a_Mortlake_Baker_D22,NA,NA,Spenceriella,Megascolecidae,Unknown,93,Individuals per m2
000_Baker1998a_Mortlake_Baker_D23,NA,NA,Spenceriella,Megascolecidae,Unknown,245,Individuals per m2
000_Baker1998a_Mortlake_Baker_D24,NA,NA,Spenceriella,Megascolecidae,Unknown,153,Individuals per m2
000_Baker1998a_Mortlake_Baker_D25,NA,NA,Spenceriella,Megascolecidae,Unknown,2,Individuals per m2
000_Baker1998a_Mortlake_Baker_D28,NA,NA,Spenceriella,Megascolecidae,Unknown,122,Individuals per m2
000_Baker1998a_Mortlake_Baker_D3,NA,NA,Spenceriella,Megascolecidae,Unknown,5,Individuals per m2
000_Baker1998a_Mortlake_Baker_D30,NA,NA,Spenceriella,Megascolecidae,Unknown,17,Individuals per m2
000_Baker1998a_Mortlake_Baker_D31,NA,NA,Spenceriella,Megascolecidae,Unknown,138,Individuals per m2
000_Baker1998a_Mortlake_Baker_D38,NA,NA,Spenceriella,Megascolecidae,Unknown,62,Individuals per m2
000_Baker1998a_Mortlake_Baker_D44,NA,NA,Heteroporodrilus,Megascolecidae,Unknown,2,Individuals per m2
000_Baker1998a_Mortlake_Baker_D44,NA,NA,Spenceriella,Megascolecidae,Unknown,83,Individuals per m2
000_Baker1998a_Mortlake_Baker_D58,NA,NA,Spenceriella,Megascolecidae,Unknown,48,Individuals per m2
000_Baker1998a_Mortlake_Baker_D59,NA,NA,Spenceriella,Megascolecidae,Unknown,113,Individuals per m2
000_Baker1998a_Mortlake_Baker_D60,NA,NA,Spenceriella,Megascolecidae,Unknown,27,Individuals per m2
000_Baker1998a_Mortlake_Baker_D69,NA,NA,Spenceriella,Megascolecidae,Unknown,212,Individuals per m2
000_Baker1998a_Mortlake_Baker_D73,NA,NA,Spenceriella,Megascolecidae,Unknown,82,Individuals per m2
000_Baker1998a_Mortlake_Baker_D87,NA,NA,Spenceriella,Megascolecidae,Unknown,10,Individuals per m2
000_Baker1998a_Mortlake_Baker_D88,NA,NA,Spenceriella,Megascolecidae,Unknown,3,Individuals per m2
000_Baker1998a_Mortlake_Baker_E32,NA,NA,Spenceriella,Megascolecidae,Unknown,150,Individuals per m2
000_Baker1998a_Mortlake_Baker_E36,NA,NA,Spenceriella,Megascolecidae,Unknown,60,Individuals per m2
000_Baker1998a_Mortlake_Baker_E38,NA,NA,Spenceriella,Megascolecidae,Unknown,17,Individuals per m2
000_Baker1998a_Mortlake_Baker_E40,NA,NA,Spenceriella,Megascolecidae,Unknown,30,Individuals per m2
000_Baker1998a_Mortlake_Baker_E43,NA,NA,Spenceriella,Megascolecidae,Unknown,23,Individuals per m2
000_Baker1998a_Mortlake_Baker_E45,NA,NA,Spenceriella,Megascolecidae,Unknown,12,Individuals per m2
000_Baker1998a_Mortlake_Baker_E47,NA,NA,Spenceriella,Megascolecidae,Unknown,108,Individuals per m2
000_Baker1998a_Mortlake_Baker_E50,NA,NA,Spenceriella,Megascolecidae,Unknown,22,Individuals per m2
000_Baker1998a_Mortlake_Baker_E53,NA,NA,Spenceriella,Megascolecidae,Unknown,45,Individuals per m2
000_Baker1998a_Mortlake_Baker_E55,NA,NA,Spenceriella,Megascolecidae,Unknown,310,Individuals per m2
000_Baker1998a_Mortlake_Baker_E56,NA,NA,Spenceriella,Megascolecidae,Unknown,53,Individuals per m2
000_Baker1998b_BS_Baker_131,Aporrectodea caliginosa,Aporrectodea caliginosa,Aporrectodea,Lumbricidae,Endogeic,4,Individuals per m2
000_Baker1998b_BS_Baker_126,Aporrectodea caliginosa,Aporrectodea caliginosa,Aporrectodea,Lumbricidae,Endogeic,6,Individuals per m2
000_Baker1998b_BS_Baker_127,Aporrectodea caliginosa,Aporrectodea caliginosa,Aporrectodea,Lumbricidae,Endogeic,292,Individuals per m2
000_Baker1998b_BS_Baker_143,Aporrectodea caliginosa,Aporrectodea caliginosa,Aporrectodea,Lumbricidae,Endogeic,2,Individuals per m2
000_Baker1998b_BS_Baker_144,Aporrectodea caliginosa,Aporrectodea caliginosa,Aporrectodea,Lumbricidae,Endogeic,334,Individuals per m2
000_Baker1998b_BS_Baker_161,Aporrectodea caliginosa,Aporrectodea caliginosa,Aporrectodea,Lumbricidae,Endogeic,42,Individuals per m2
000_Baker1998b_BS_Baker_159,Aporrectodea caliginosa,Aporrectodea caliginosa,Aporrectodea,Lumbricidae,Endogeic,74,Individuals per m2
000_Baker1998b_BS_Baker_160,Aporrectodea caliginosa,Aporrectodea caliginosa,Aporrectodea,Lumbricidae,Endogeic,24,Individuals per m2
000_Baker1998b_BS_Baker_125,Aporrectodea caliginosa,Aporrectodea caliginosa,Aporrectodea,Lumbricidae,Endogeic,130,Individuals per m2
000_Baker1998b_BS_Baker_115,Aporrectodea caliginosa,Aporrectodea caliginosa,Aporrectodea,Lumbricidae,Endogeic,144,Individuals per m2
000_Baker1998b_BS_Baker_114,Aporrectodea caliginosa,Aporrectodea caliginosa,Aporrectodea,Lumbricidae,Endogeic,14,Individuals per m2
000_Baker1998b_BS_Baker_116,Aporrectodea caliginosa,Aporrectodea caliginosa,Aporrectodea,Lumbricidae,Endogeic,238,Individuals per m2
000_Baker1998b_BS_Baker_113,Aporrectodea caliginosa,Aporrectodea caliginosa,Aporrectodea,Lumbricidae,Endogeic,192,Individuals per m2
000_Baker1998b_BS_Baker_120,Aporrectodea caliginosa,Aporrectodea caliginosa,Aporrectodea,Lumbricidae,Endogeic,6,Individuals per m2
000_Baker1998b_BS_Baker_194,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,66,Individuals per m2
000_Baker1998b_BS_Baker_238,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,66,Individuals per m2
000_Baker1998b_BS_Baker_269,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,14,Individuals per m2
000_Baker1998b_BS_Baker_144,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,230,Individuals per m2
000_Baker1998b_BS_Baker_192,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,20,Individuals per m2
000_Baker1998b_BS_Baker_131,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,92,Individuals per m2
000_Baker1998b_BS_Baker_193,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,54,Individuals per m2
000_Baker1998b_BS_Baker_266,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,134,Individuals per m2
000_Baker1998b_BS_Baker_220,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,106,Individuals per m2
000_Baker1998b_BS_Baker_252,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,18,Individuals per m2
000_Baker1998b_BS_Baker_21,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,76,Individuals per m2
000_Baker1998b_BS_Baker_224,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,26,Individuals per m2
000_Baker1998b_BS_Baker_226,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,18,Individuals per m2
000_Baker1998b_BS_Baker_2,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,70,Individuals per m2
000_Baker1998b_BS_Baker_261,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,8,Individuals per m2
000_Baker1998b_BS_Baker_190,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,48,Individuals per m2
000_Baker1998b_BS_Baker_223,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,70,Individuals per m2
000_Baker1998b_BS_Baker_270,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,136,Individuals per m2
000_Baker1998b_BS_Baker_148,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,6,Individuals per m2
000_Baker1998b_BS_Baker_143,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,80,Individuals per m2
000_Baker1998b_BS_Baker_234,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,4,Individuals per m2
000_Baker1998b_BS_Baker_240,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,358,Individuals per m2
000_Baker1998b_BS_Baker_72,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,14,Individuals per m2
000_Baker1998b_BS_Baker_77,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,190,Individuals per m2
000_Baker1998b_BS_Baker_271,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,24,Individuals per m2
000_Baker1998b_BS_Baker_71,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,174,Individuals per m2
000_Baker1998b_BS_Baker_110,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,622,Individuals per m2
000_Baker1998b_BS_Baker_170,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,2,Individuals per m2
000_Baker1998b_BS_Baker_251,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,156,Individuals per m2
000_Baker1998b_BS_Baker_189,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,66,Individuals per m2
000_Baker1998b_BS_Baker_142,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,16,Individuals per m2
000_Baker1998b_BS_Baker_219,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,20,Individuals per m2
000_Baker1998b_BS_Baker_229,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,54,Individuals per m2
000_Baker1998b_BS_Baker_231,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,8,Individuals per m2
000_Baker1998b_BS_Baker_160,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,6,Individuals per m2
000_Baker1998b_BS_Baker_232,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,274,Individuals per m2
000_Baker1998b_BS_Baker_168,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,56,Individuals per m2
000_Baker1998b_BS_Baker_69,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,16,Individuals per m2
000_Baker1998b_BS_Baker_73,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,32,Individuals per m2
000_Baker1998b_BS_Baker_280,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,6,Individuals per m2
000_Baker1998b_BS_Baker_218,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,6,Individuals per m2
000_Baker1998b_BS_Baker_227,Aporrectodea rosea,Aporrectodea rosea,Aporrectodea,Lumbricidae,Endogeic,24,Individuals per m2
